name,cluster_id
Dill Pickles,9194
Pickled Walnuts,5985
Pommard,1837
Romaine,4678
Hashed browned potatoes,8333
Preserves,4425
Mixed Pickles,5140
Royal Squab,3325
Biscuit Glace,2436
Poussin,1377
Escarole,5751
Kummel,380
Vermouth,6081
Tomato salad,8797
Honey Dew Melon,8196
Queen Olives,8491
French Fried Potatoes,54
Mayonnaise,2355
Ceylon Tea,1405
Blue Points,4877
BAKED SWEET POTATOES,1814
Broiled Bacon,1720
Sauternes,391
peaches,3464
Boiled Onions,6245
Honey,5414
BAKED IDAHO POTATO,5527
Filet Mignon,8439
Iced Tea,4542
Beefsteak,9345
ENGLISH BREAKFAST TEA,7175
Mayonnaise dressing,3614
Kaffee Hag,1991
Roast Beef Sandwich,4899
Fresh Shrimp Cocktail,7945
Hearts of Celery,6108
Custard Pie,8855
Cape Cod Oysters,2010
Prime ribs of beef au jus,239
Spaghetti,974
French string beans,1813
Prime ribs of beef,2986
Tokay Grapes,544
Cold tongue,183
Fruchte,6389
Fried Ham,4459
Sliced Orange,5211
Mixed ice cream,1695
Corn muffins,9134
Fried oysters,2007
Raisin cake,8260
Anchovy Salad,5941
Swiss cheese sandwich,7716
French bread,1982
Preserved Skinless Figs,2389
Mashed Potatoes,1721
Julienne potatoes,8519
Oysters,6841
Broiled Fresh Mushrooms,8496
Canadian Cheese,5551
Baked Potato,6325
Oolong Tea,1434
Haut Sauternes,8962
Lemon Ice,7978
Lima Beans,9546
Dates,3195
Peach Ice Cream,476
Clam cocktail,1091
Sliced Fresh Pineapple,2545
Stilton,308
Potato Salad,9010
Marmelade,2543
Hashed Brown Potatoes,4098
Strawberry short cake,8943
Dubonnet,4945
Medoc,1236
Kase,4042
Oyster Bay asparagus,6171
Laubenheimer,2472
Guava jelly,614
Vegetable Soup,3706
Chocolate ice cream,8824
Gruyere Cheese,9141
Sherbet,131
Shredded Wheat,7664
Sliced Peaches,5540
Poached eggs,2690
Horlick's Malted Milk,3781
American cheese,1571
Sauerkraut Juice,5406
Sliced pineapple,706
Chablis,4052
Pistache ice cream,5294
Liederkranz,745
bacon,1541
Romaine salad,8982
Port Salut,7278
"Moet & Chandon, White Seal",9459
apple,1022
Corn bread,6778
Iced Coffee,7561
Instant Postum,5407
Fancy Cakes,9139
Boiled Sweet Potatoes,8385
Tom Collins,2937
Macaroni,8048
Clam Fritters,3451
Fromage,8520
Claret,624
Roquefort Dressing,2464
Tangerines,1356
California Orange,4742
Corned beef sandwich,6135
lemon meringue pie,1586
Jam,3403
Coffee with Cream,658
Porterhouse Steak,8311
toasted crackers,9465
Grape Fruit,7682
Fruit Cake,6992
Peas,6026
Baked apples,797
Sliced Oranges,3736
Bouillon,485
Peach Short Cake,948
Milk Toast,2250
Eggs to order,114
Stewed rhubarb,2483
Apollinaris Water,9720
Whiskey Sour,6844
Kirschwasser,292
Celeri     ,1580
Stuffed tomatoes,189
Stuffed Tomato,965
Corned Beef and Cabbage,8387
Preserved figs,906
Salade,9683
Strawberry shortcake,6721
Chicory,1177
Meringue Glace,6360
Stuffed Mangoes,6333
Yorkshire Buck,2931
Fried Soft Shell Crabs,8289
Liebfraumilch,670
Cream of tomato soup,6907
Squash,6387
Scotch Woodcock,4561
Cafe,8302
Broiled Chicken,1562
"Omelette, plain",8916
Hearts of Lettuce,452
Apricots,711
Cherries,6438
Rice Pudding,2097
Wine Jelly,2447
Roast Turkey,430
Boiled Ham,8137
Table Celery,4839
English mutton chop,2104
Chambertin,2422
BUTTERED BEETS,7847
Lobster a la Newburg,3796
"Potatoes, French fried",1474
Rice,1447
Plain Omelet,147
Fresh milk,1895
Smoked beef,1160
Fresh Strawberries,4375
Mock turtle soup,8567
Petite marmite,407
Au Gratin Potatoes,377
Hot roast beef sandwich,151
Alligator Pear Salad,3158
Roastbeef,8088
Bluefish,3364
Spanish omelette,606
Friandises,9633
Pousse Cafe,2210
Hot Chocolate,6556
Sponge Cake,2787
Chocolate Parfait,7263
"Potatoes, boiled",310
Bluepoints,4877
Sliced Bananas,1992
Pie a la Mode,488
Chutney,618
American Cheese,412
Thousand Island Dressing,818
Clam Broth,2669
Pistachio Ice Cream,715
Kippered Herring,1496
Sarsaparilla,3593
Assorted Cold Cuts,8257
orange sherbet,1294
Consomme Julienne,1838
Strawberry Ice Cream,1484
Raspberries,98
Eclair,6049
Canadian Club,4869
Grand Marnier,3428
boiled new potatoes,8401
Bar-le-Duc,5045
Seltzer,5399
Petit Fours,1118
Budweiser,8454
Broiled Spring Chicken,3544
Spaghetti au Gratin,3658
Saratoga Potatoes,7256
Pate de Foie Gras,7293
Cointreau,171
Boiled New Potatoes,2633
Club Sandwich,4218
Carciofini,2079
Salat,7698
Radieschen,1664
Broiled bluefish,5099
"Potatoes, lyonnaise",6737
Grape Juice,2811
Stuffed green peppers,375
Rice Cakes,8490
American,2128
Graves,5883
Cheese Cake,1703
Cheese Sandwich,4110
Bismarck Herring,2108
Boston Brown Bread,6610
Combination Salad,574
Imported Swiss cheese,9050
Huitres,700
French rolls,4562
Pear Melba,9058
Creme de Cacao,682
Apricot Brandy,9268
Potatoes Parisienne,8404
GREEN TEA,68
"Potatoes, mashed",8326
SANKA COFFEE,2576
Salami,5051
MIXED NUTS,5349
Sardellen,6054
Grape Nuts,8633
Fried Oysters,542
Raspberry sherbet,9080
Tapioca Pudding,1256
rhubarb pie,8614
APRICOT PIE,2068
Hearts of lettuce salad,8112
Cherry Pie,2145
Haut Sauterne,623
Spinach with egg,1430
fresh strawberry ice cream,6604
Pickled onions,7480
Canape of Anchovies,955
Butter,85
Chow Chow,678
Apple pie,589
Chicken consomme,9175
ORANGE PEKOE TEA,7769
Lobster cocktail,8864
Dutch cheese,5090
German Pancake,4540
Cranberry Sauce,1440
Brook Trout,7339
Chocolate Eclairs,5166
Codfish Cakes,908
Lemon Sherbet,8910
Swiss,8604
Wheat Cakes,5702
MUFFINS,4378
Fresh Vegetable Salad,4078
Gin Fizz,1729
Dipped Toast,5182
Cauliflower au Gratin,1830
American Cheese Sandwich,7192
Caramel custard,359
Camembert Cheese,9691
"Chartreuse, Yellow",7782
Roast Lamb,2067
PRUNES,4174
Rolls and butter,6942
Ice Cream,664
Extra sirloin steak,8810
Ham Omelet,8236
Soda,3192
Chocolate eclair,6781
Fruit in Season,3003
Cherry Stone Clams,8388
Martini Cocktail,1753
Preserved Peaches,6296
Cheddar Cheese,8402
Zeltinger,2003
Philadelphia Cream Cheese,9674
Baked Beans,2524
"Eggs, fried",4648
Boston baked beans,5708
Assorted cheese,4332
cole slaw,243
Halibut steak,7182
Julienne,5615
Fresh String Beans,8069
Manhattan Cocktail,838
BLUEBERRY PIE,2998
Ham and Eggs,1759
Chicken okra soup,3604
Crabmeat Cocktail,8809
Blackberries,5758
"MILK, PER GLASS",5224
Champagne Cocktail,7873
Rye Bread,693
Pot of Tea,8049
Lobster Newburg,5830
Potatoes Lyonnaise,9578
RUM,707
Cheese and Crackers,1302
Lyon Sausage,390
Asparagus Tips,2719
Rolls and Butter,2041
Irish stew,3415
Malaga Grapes,2056
Lemon Soda,6074
Breakfast Bacon,3835
Onion Soup au gratin,9252
Baked Alaska,5699
Chicken Salad Sandwich,8005
Cocktail,2140
Fried hominy,5293
Orange ice,8214
Egg plant,2720
Mixed Ice Cream,8922
Fried Clams,3831
Dandelion Salad,1798
CHAMPAGNE,3965
"Omelet, plain",9519
Russian caviar,2224
French Toast,6545
Port du Salut,7278
Soft Shell Crabs,926
Potatoes hashed in cream,4602
Leberwurst,5556
Sliced Chicken,8915
Spanish olives,7748
crab meat cocktail,7722
Potato Croquettes,709
Welsh Rarebit,5071
Corn fritters,5655
Clam Stew ,546
Petits Fours,8800
Chianti,9448
Poland Water,9697
"Potatoes, baked",6429
Ox Tongue,7611
HARICOTS VERTS,7522
Marinated Herring,3091
Lettuce and Tomato,7295
Cold Chicken,6393
Escarole salad,8924
Potato,8156
Westphalían Ham,5848
Spaghetti Italienne,7348
Clams,4785
Soup du Jour,5442
Caviar sandwich,8440
Blueberries,1235
Stewed pears,4852
Saucisson de Lyon,5241
Gervais,64
Heart of Lettuce Salad,9015
Bacon and Eggs,6526
Stinger,1471
Stuffed Olives,1148
Consomme Vermicelli,2216
Mumm's Extra Dry,8279
Assorted Fruit,4914
Old Fashioned,4967
compot,4573
Westphalia Ham,8492
"Eggs, Scrambled",8735
Cheese Omelette,1193
Cold turkey,5835
Alligator Pear,6897
Oyster Fry,5189
PASTRY,5736
Macon,2165
COFFEE,8151
Salmon Salad,6998
Sliced Bananas with Cream,6877
Corn Flakes,8636
"Coffee, Pot",7389
Frische Milch,4599
"Eggs, boiled",8271
Bacardi Cocktail,4982
Lady Fingers,822
Lettuce and Tomato Sandwich,9180
Macaroni au Gratin,8389
Port du Salut cheese,8850
Fresh Fruit Cocktail,7904
Cook's Imperial,1981
Neapolitan,3131
Mixed Salad,2832
Cognac,1778
Figs in syrup,839
Nuts and Raisins,1395
Sliced Bananas and Cream,14
Amandes salees,2013
Clear green turtle soup,73
Lettuce and Tomatoes,672
Fried Bacon,5609
Fried Scallops,2264
Broiled Squab,224
Fried onions,9212
Fresh asparagus,9096
Broiled Chicken (half),9659
Strawberry jam,4056
Boiled Bermuda Potatoes,2284
Coca Cola,7597
Cafe Turc,4127
Hot mince pie,326
Oatmeal Porridge,4377
Vienna Bread,2504
Tomato Omelette,8540
Rockaways,2169
Chicken Soup,545
Sauerkraut,1479
NEW POTATOES,7635
Coffee ice cream,6254
Fancy Ice Cream,5468
Casaba Melon,3097
Onions,4092
Shrimp,8443
Boston Cream Pie,8258
Pie,7422
Corbeille de Fruits,1650
Steamed Rice,5984
Fresh strawberries and cream,9484
Biscuits,8941
Spinach with Egg,1430
Sloe Gin,1853
Assorted Fresh Fruit,4914
Bologna Sausage,8821
Club Soda,92
Cream Toast,162
Cocktails,2140
Cold rice pudding,9000
Mushroom Omelette,8833
Brandy,4514
Crab Meat salad,5638
Assorted Nuts,5117
Young Onions,4541
GRAHAM ROLLS,1836
Curried Chicken with Rice,8114
Spanish Omelette,606
Fish cakes,9077
Eclairs,7406
Gebackene Kartoffeln,1316
Old Tom Gin,6464
"Roast Lamb, Mint Sauce",9269
India Relish,1093
"Lobster, Newburg",7926
Fried Sweet Potatoes,2844
Chocolate Sundae,7370
Concombres,8253
Gin Rickey,5632
Rice and milk,4303
Sherry Flip,4146
Plain Lemonade,7446
Ham omelette,6184
Raspberry jam,8460
Bartlett Pear,6068
Head Cheese,7365
Guinness' Stout,9584
Combination salad,9544
Spanish omelet,3453
"Lamb, mint sauce",8159
Glass of milk,8409
Mangoes,1727
Claret Punch,2712
"ROAST TURKEY, CRANBERRY SAUCE",6373
French vanilla ice cream,7685
Roast Beef,9129
Chocolate Layer Cake,6848
SALADE DE SAISON,2309
Sloe Gin Fizz,6421
Caviar Canape,7036
Finnan Haddie,278
"Chartreuse, green",7432
Assorted Hors D'oeuvres,2634
Strawberries with cream,3136
Corn Cakes,5890
"Coffee, per pot",9470
Gumbo,5398
Crab Meat Cocktail,8809
New asparagus,7076
Fried smelts,5980
Gekochte Kartoffeln,3637
Waffles,5666
liver and bacon,4455
"Eggs, shirred",5937
Crab Salad,5638
"Vermouth, Italian",6457
Pineapple Pie,7294
Potatoes Julienne,760
Margaux,2973
lemon pie,6967
Canape of Caviar,7036
Broiled oysters,8758
Cafe Noir,1873
"Tea, Pot",2548
"Tea, per pot",1147
Smoked Beef Tongue,7059
TUTTI FRUTTI ICE CREAM,5722
Maple Syrup,469
Silver Fizz,7243
"Cream, per glass",5948
Baked apples with cream,8036
Turnips,4300
Stewed Oysters,8020
Roast Potatoes,8803
Malted Milk,6490
Beef tongue,2221
Dill Pickle,662
Pont l'Eveque cheese,9114
Vienna Rolls,4065
Assorted Cold Cuts with Chicken,1864
Beef consomme,1799
Country Sausage,5424
Cold Consomme,3887
Corn Fritters,5655
Crabflake Cocktail,8649
Fruit Salad,2161
Fresh mushrooms,9033
Mock Turtle,6494
German fried potatoes,4134
Pot of coffee,8583
BURGUNDY,4328
Spring Onions,6688
Potatoes O'Brien,5602
Layer Cake,6252
Crab Meat Salad,5638
Fruit Supreme,8135
Vegetable Salad,7274
